央视频道,#genre#
卫视频道,#genre#
东南卫视,http://180.143.82.217:8181/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://180.143.82.217:8181/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://180.143.82.217:8181/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
延边卫视,http://180.143.82.217:8181/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://180.143.82.217:8181/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://180.143.82.217:8181/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
其他频道,#genre#
南方1,http://180.143.82.217:8181/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
DTV2,http://180.143.82.217:8181/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0
预留2,http://180.143.82.217:8181/tsfile/live/1069_1.m3u8?key=txiptv&playlive=1&authid=0
DTV3,http://180.143.82.217:8181/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
南方3,http://180.143.82.217:8181/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0
佛山影视,http://180.143.82.217:8181/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://180.143.82.217:8181/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://180.143.82.217:8181/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://180.143.82.217:8181/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
炫动卡通,http://180.143.82.217:8181/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://180.143.82.217:8181/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
翡翠台,http://180.143.82.217:8181/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
